hour,day_of_week,is_business_hours,is_weekend,time_since_last_change,change_velocity,change_magnitude,rarity_score,user_activity,is_wildcard,blast_radius,privilege_direction,is_error,action_frequency,resource_centrality,neighbor_count,clustering_coeff,pagerank_score,betweenness,error_rate_recent,cloudtrail_time,event_name,user_name,source_ip,net_bytes_total,net_bytes_out,net_unique_ips,net_suspicious_ports,net_exfil_score,net_connections,end_unique_processes,end_suspicious_processes,end_privileged_events,end_logon_events,end_process_creation,is_anomaly,anomaly_score,triggered_rules,confidence,severity,rule_count
14,0,1,0,3600.0,0,1,0.0034129692832764505,0.0,0,1132,0,0,292,0,0,0,0,0,0.0,2018-08-20 14:30:00+05:30,Decrypt,nan,52.90.111.233,0,0.0,0,0,0.0,0,0,0,682,55,733,0,0.14285714285714285,high_blast_radius|excessive_privileged_events,0.4,LOW,2
14,0,1,0,3600.0,0,1,0.0045045045045045045,0.0,0,1132,0,0,221,0,0,0,0,0,0.0,2018-08-20 14:30:53+05:30,DescribeInstanceStatus,nan,autoscaling.amazonaws.com,0,0.0,0,0,0.0,0,0,0,687,55,739,0,0.14285714285714285,high_blast_radius|excessive_privileged_events,0.4,LOW,2
14,0,1,0,3600.0,0,1,0.003003003003003003,0.0,0,1132,0,0,332,0,0,0,0,0,0.0,2018-08-20 14:31:46+05:30,AssumeRole,nan,ec2.amazonaws.com,0,0.0,0,0,0.0,0,0,0,687,55,742,0,0.14285714285714285,high_blast_radius|excessive_privileged_events,0.4,LOW,2
14,0,1,0,3600.0,417,1,0.003278688524590164,0.6225840815705372,0,1132,0,0,304,0,0,0,0,0,0.08579809337570277,2018-08-20 14:31:54+05:30,GetCallerIdentity,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.003278688524590164,0.6225840815705372,0,1132,0,0,304,0,0,0,0,0,0.08579809337570277,2018-08-20 14:31:54+05:30,GetCallerIdentity,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.003278688524590164,0.6225840815705372,0,1132,0,0,304,0,0,0,0,0,0.08579809337570277,2018-08-20 14:31:54+05:30,GetCallerIdentity,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,2.0,417,1,0.003278688524590164,0.6225840815705372,0,1132,0,0,304,0,0,0,0,0,0.08579809337570277,2018-08-20 14:31:56+05:30,GetCallerIdentity,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,4.0,417,1,0.0005558643690939411,0.6225840815705372,0,1132,0,0,1798,0,0,0,0,0,0.08579809337570277,2018-08-20 14:32:00+05:30,DescribeConfigRuleEvaluationStatus,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.0005558643690939411,0.6225840815705372,0,1132,0,0,1798,0,0,0,0,0,0.08579809337570277,2018-08-20 14:32:00+05:30,DescribeConfigRuleEvaluationStatus,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.0005558643690939411,0.6225840815705372,0,1132,0,0,1798,0,0,0,0,0,0.08579809337570277,2018-08-20 14:32:00+05:30,DescribeConfigRuleEvaluationStatus,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.0005558643690939411,0.6225840815705372,0,1132,0,0,1798,0,0,0,0,0,0.08579809337570277,2018-08-20 14:32:00+05:30,DescribeConfigRuleEvaluationStatus,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.0005558643690939411,0.6225840815705372,0,1132,0,0,1798,0,0,0,0,0,0.08579809337570277,2018-08-20 14:32:00+05:30,DescribeConfigRuleEvaluationStatus,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
14,0,1,0,0.0,417,1,0.0005558643690939411,0.6225840815705372,0,1132,0,0,1798,0,0,0,0,0,0.08579809337570277,2018-08-20 14:32:00+05:30,DescribeConfigRuleEvaluationStatus,splunk_access,34.215.24.225,86555020,9444272.0,1,0,0.062221144203901756,27,0,0,687,55,742,1,0.21428571428571427,high_blast_radius|rapid_changes|excessive_privileged_events,0.6,LOW,3
