username,window_start,window_end,window_label,raw_len,P_seq,pred,top_event_name_idx
fe:AWSServiceRoleForEC2,2024-02-20T14:52:00+00:00,2024-02-20T15:02:00+00:00,0,6,0.2733786404132843,0,"[[9, 2], [28, 1], [21, 1], [10, 1], [12, 1]]"
fe:AWSServiceRoleForEC2,2024-02-20T14:54:00+00:00,2024-02-20T15:04:00+00:00,0,6,0.2733786404132843,0,"[[9, 2], [28, 1], [21, 1], [10, 1], [12, 1]]"
fe:AWSServiceRoleForEC2,2024-02-20T14:56:00+00:00,2024-02-20T15:06:00+00:00,0,6,0.2733786404132843,0,"[[9, 2], [28, 1], [21, 1], [10, 1], [12, 1]]"
fe:AWSServiceRoleForEC2,2024-02-20T14:58:00+00:00,2024-02-20T15:08:00+00:00,0,6,0.2733786404132843,0,"[[9, 2], [28, 1], [21, 1], [10, 1], [12, 1]]"
fe:AWSServiceRoleForEC2,2024-02-20T15:00:00+00:00,2024-02-20T15:10:00+00:00,0,6,0.2733786404132843,0,"[[9, 2], [28, 1], [21, 1], [10, 1], [12, 1]]"
fe:AWSServiceRoleForEC2,2024-03-25T15:52:00+00:00,2024-03-25T16:02:00+00:00,0,7,0.24858015775680542,0,"[[9, 3], [12, 1], [28, 1], [23, 1], [21, 1]]"
fe:AWSServiceRoleForEC2,2024-03-25T15:54:00+00:00,2024-03-25T16:04:00+00:00,0,15,0.24858015775680542,0,"[[9, 4], [12, 3], [10, 3], [28, 2], [21, 2]]"
fe:AWSServiceRoleForEC2,2024-03-25T15:56:00+00:00,2024-03-25T16:06:00+00:00,0,15,0.24858015775680542,0,"[[9, 4], [12, 3], [10, 3], [28, 2], [21, 2]]"
fe:AWSServiceRoleForEC2,2024-03-25T15:58:00+00:00,2024-03-25T16:08:00+00:00,0,15,0.24858015775680542,0,"[[9, 4], [12, 3], [10, 3], [28, 2], [21, 2]]"
fe:AWSServiceRoleForEC2,2024-03-25T16:00:00+00:00,2024-03-25T16:10:00+00:00,0,15,0.24858015775680542,0,"[[9, 4], [12, 3], [10, 3], [28, 2], [21, 2]]"
