run_id,collector,aws_account,technique_id,tactic,rep_index,start_ts_utc,end_ts_utc,warmup_status,detonate_status,revert_status,cleanup_status,expected_events,notes,_source_file
dda18147-1ed2-43e9-b5ab-f15428da13c3,akshaya,261390480702,aws.persistence.iam-create-user-login-profile,persistence,2,2026-07-10T11:19:57.721148+00:00,2026-07-10T11:21:43.069785+00:00,ok,ok,ok,ok,CreateLoginProfile,,manifest_akshaya.csv
33372aa6-9b08-4ee3-bc0a-e1974986c24f,akshaya,261390480702,aws.privilege-escalation.iam-update-user-login-profile,privilege-escalation,1,2026-07-10T11:21:43.071681+00:00,2026-07-10T11:28:33.346969+00:00,ok,ok,ok,ok,UpdateLoginProfile,,manifest_akshaya.csv
7016eaaa-e7a7-4e06-aa98-848626b62a1a,akshaya,261390480702,aws.credential-access.ssm-retrieve-securestring-parameters,credential-access,1,2026-07-10T11:28:33.351500+00:00,2026-07-10T11:38:15.714194+00:00,ok,ok,ok,ok,DescribeParameters;GetParameters,,manifest_akshaya.csv
133467c6-c849-4b6b-8876-fc0309cfdec8,akshaya,261390480702,aws.persistence.iam-backdoor-user,persistence,2,2026-07-10T11:38:15.716188+00:00,2026-07-10T11:39:13.789721+00:00,ok,ok,ok,ok,CreateAccessKey,,manifest_akshaya.csv
b724e6bc-1bd3-44d6-bd72-d412d93e8b23,akshaya,261390480702,aws.persistence.iam-create-backdoor-role,persistence,3,2026-07-10T11:39:13.793440+00:00,2026-07-10T11:45:35.301773+00:00,ok,ok,ok,ok,CreateRole;AttachRolePolicy,,manifest_akshaya.csv
37fd1920-7610-41d3-91dc-ae32d3d79803,akshaya,261390480702,aws.credential-access.secretsmanager-retrieve-secrets,credential-access,3,2026-07-10T11:45:35.302923+00:00,2026-07-10T11:46:57.091532+00:00,ok,ok,ok,ok,ListSecrets;GetSecretValue,,manifest_akshaya.csv
e8eb1964-52eb-4dd5-a592-f365b3eb1426,akshaya,261390480702,aws.persistence.iam-create-user-login-profile,persistence,3,2026-07-10T11:46:57.093385+00:00,2026-07-10T11:47:58.736487+00:00,ok,ok,ok,ok,CreateLoginProfile,,manifest_akshaya.csv
a8c19d42-b76c-44b6-af83-bde28638bd60,akshaya,261390480702,aws.credential-access.secretsmanager-retrieve-secrets,credential-access,2,2026-07-10T11:47:58.738367+00:00,2026-07-10T11:49:31.751166+00:00,ok,ok,ok,ok,ListSecrets;GetSecretValue,,manifest_akshaya.csv
e5d45bcd-dea1-42d1-9a1c-8e20afe91ef5,akshaya,261390480702,aws.defense-evasion.cloudtrail-event-selectors,defense-evasion,3,2026-07-10T11:49:31.753289+00:00,2026-07-10T11:50:39.621093+00:00,ok,ok,ok,ok,PutEventSelectors,,manifest_akshaya.csv
8f274a95-aca6-447e-b086-a25bad5cdc14,akshaya,261390480702,aws.persistence.lambda-backdoor-function,persistence,2,2026-07-10T11:50:39.624298+00:00,2026-07-10T12:06:17.517762+00:00,FAILED,,,FAILED - MANUAL CHECK NEEDED,AddPermission20150331v2,"warmup: mbda"":
  24: resource ""aws_iam_role"" ""lambda"" {


Error: Error uploading object to S3 bucket (stratus-red-team-backdoor-f-bucket-ahuyctlngp): RequestError: send request failed
caused by: Put ""https://stratus-red-team-backdoor-f-bucket-ahuyctlngp.s3.amazonaws.com/index.zip"": read tcp 192.168.1.11:58946->16.15.191.115:443: read: connection reset by peer

  with aws_s3_bucket_object.code,
  on main.tf line 54, in resource ""aws_s3_bucket_object"" ""code"":
  54: resource ""aws_s3_bucket_object"" ""code"" { | cleanup: ----------------------------------------------+--------+
| ID                                       | NAME                                                   | STATUS |
+------------------------------------------+--------------------------------------------------------+--------+
| aws.persistence.lambda-backdoor-function | Backdoor Lambda Function Through Resource-Based Policy | COLD   |
+------------------------------------------+--------------------------------------------------------+--------+",manifest_akshaya.csv
bdf148bc-b721-4626-b454-a13ed8f95960,akshaya,261390480702,aws.credential-access.ssm-retrieve-securestring-parameters,credential-access,2,2026-07-10T12:06:17.518950+00:00,2026-07-10T12:09:58.075947+00:00,ok,ok,ok,ok,DescribeParameters;GetParameters,,manifest_akshaya.csv
1db14c8e-c5f1-49f5-b7d1-86490b28dd96,akshaya,261390480702,aws.defense-evasion.cloudtrail-stop,defense-evasion,2,2026-07-10T12:09:58.080970+00:00,2026-07-10T12:11:23.347432+00:00,ok,ok,ok,ok,StopLogging,,manifest_akshaya.csv
d746600f-5a89-4c3a-9cce-1c5e82bdf549,akshaya,261390480702,aws.defense-evasion.cloudtrail-event-selectors,defense-evasion,1,2026-07-10T12:11:23.349654+00:00,2026-07-10T12:12:50.471078+00:00,ok,ok,ok,ok,PutEventSelectors,,manifest_akshaya.csv
0fb46289-1494-4761-a26d-2e78cdc40a6b,akshaya,261390480702,aws.credential-access.ec2-get-password-data,credential-access,3,2026-07-10T12:12:50.473066+00:00,2026-07-10T12:14:17.023437+00:00,ok,ok,ok,ok,AssumeRole;GetPasswordData,,manifest_akshaya.csv
a06af423-0472-4769-8291-ccbb899c2334,akshaya,261390480702,aws.persistence.iam-create-admin-user,persistence,3,2026-07-10T12:14:17.025711+00:00,2026-07-10T12:15:15.006509+00:00,ok,ok,ok,ok,CreateUser;AttachUserPolicy,,manifest_akshaya.csv
03cbf9df-f16d-4a70-9e71-5a75db09433b,akshaya,261390480702,aws.persistence.lambda-backdoor-function,persistence,1,2026-07-10T12:15:15.007256+00:00,2026-07-10T12:16:46.174992+00:00,ok,ok,ok,ok,AddPermission20150331v2,,manifest_akshaya.csv
