timestamp,event_name,event_source,aws_region,source_ip,error_code,username,principal_type,principal_arn,attack_technique,label,session_label,mfa_authenticated,action_encoded,hour_normalized,is_error
2023-07-10 12:04:32+00:00,ListSecrets,secretsmanager.amazonaws.com,us-east-1,inspector2.amazonaws.com,,ec2.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/ec2.amazonaws.com,,0,0,0,0,0.5217,0
2023-07-10 12:08:08+00:00,DescribeTrails,cloudtrail.amazonaws.com,us-east-1,10.107.112.14,NoSuchBucketPolicy,AWSServiceRoleForAmazonInspector2,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForAmazonInspector2,,0,0,0,0,0.5217,1
2023-07-10 12:03:57+00:00,DescribeRouteTables,account.amazonaws.com,us-east-1,10.107.112.14,,AWSServiceRoleForRDS,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForRDS,,0,0,0,0,0.5217,0
2023-07-10 12:28:25+00:00,GetRegionOptStatus,account.amazonaws.com,us-east-1,AWS Internal,AccessDenied,lambda.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/lambda.amazonaws.com,,0,0,0,0,0.5217,1
2023-07-10 12:23:56+00:00,ListBuckets,s3.amazonaws.com,us-east-1,rds.amazonaws.com,,rolesanywhere.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/rolesanywhere.amazonaws.com,,0,0,0,0,0.5217,0
2023-07-10 11:42:56+00:00,DescribeVolumes,account.amazonaws.com,us-east-1,AWS Internal,,cloudtrail.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/cloudtrail.amazonaws.com,,0,0,0,0,0.4783,0
2023-07-10 12:10:22+00:00,DescribeParameters,ssm.amazonaws.com,us-east-1,ec2.amazonaws.com,,lambda.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/lambda.amazonaws.com,,0,0,0,0,0.5217,0
2023-07-10 11:57:05+00:00,DescribeNatGateways,account.amazonaws.com,us-east-1,10.8.8.10,,AWSServiceRoleForRDS,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForRDS,,0,0,0,0,0.4783,0
2023-07-10 12:33:12+00:00,GetUser,account.amazonaws.com,us-east-1,cloudtrail.amazonaws.com,,inspector2.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/inspector2.amazonaws.com,,0,0,0,0,0.5217,0
2023-07-10 11:50:37+00:00,GetAccountSummary,iam.amazonaws.com,us-east-1,rds.amazonaws.com,,lambda.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/lambda.amazonaws.com,,0,0,0,0,0.4783,0
2023-07-10 12:33:50+00:00,ConsoleLogin,signin.amazonaws.com,us-east-1,AWS Internal,NoSuchBucketPolicy,rolesanywhere.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/rolesanywhere.amazonaws.com,,0,0,0,27,0.5217,1
2023-07-10 12:04:46+00:00,GetAccountAuthorizationDetails,account.amazonaws.com,us-east-1,10.8.8.10,,AWSServiceRoleForAmazonInspector2,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForAmazonInspector2,,0,0,0,0,0.5217,0
2023-07-10 12:30:31+00:00,GetUser,account.amazonaws.com,us-east-1,AWS Internal,,AWSServiceRoleForRDS,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForRDS,,0,0,0,0,0.5217,0
2023-07-10 12:15:10+00:00,GenerateDataKey,kms.amazonaws.com,us-east-1,52.45.102.28,,stratus-red-team-ec2lui-role-wuzemnoeqa,AssumedRole,arn:aws:iam::123837392027:assumed-role/stratus-red-team-ec2lui-role-wuzemnoeqa,credential-access,1,1,0,21,0.5217,0
2023-07-10 11:50:08+00:00,GetBucketPolicy,s3.amazonaws.com,us-east-1,10.107.159.90,,AWSServiceRoleForRDS,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForRDS,,0,0,0,0,0.4783,0
2023-07-10 12:03:34+00:00,DescribeParameters,ssm.amazonaws.com,us-east-1,lambda.amazonaws.com,,ec2.amazonaws.com,AWSService,arn:aws:iam::123837392027:assumed-role/ec2.amazonaws.com,,0,0,0,0,0.5217,0
2023-07-10 11:48:21+00:00,ListHostedZones,account.amazonaws.com,us-east-1,10.8.8.10,,AWSServiceRoleForRDS,AssumedRole,arn:aws:iam::123837392027:assumed-role/AWSServiceRoleForRDS,,0,0,0,0,0.4783,0
